phase,number,ga_rmse,abs_dTrP,state,parent_trial_id,seed,epochs,cfg_L,cfg_hidden,cfg_epochs,cfg_seed,cfg_print_every,cfg_logfile,cfg_csv,cfg_lr,cfg_w_plaq,cfg_w_wil11,cfg_w_wil12,cfg_w_wil22,cfg_w_wil13,cfg_w_wil23,cfg_w_cr,cfg_w_unitary,cfg_w_phi_smooth,cfg_w_theta_smooth,cfg_w_phi_l2,cfg_use_huber,cfg_huber_delta_wil,cfg_huber_delta_cr,cfg_teacher_seed,param_lr,param_use_huber,param_w_plaq,param_w_unitary,param_w_phi_smooth,param_w_theta_smooth,param_w_phi_l2,param_huber_delta_wil,param_huber_delta_cr
boost,488,0.32560014724731445,0.196909099817276,1,279.0,42,1200,4,32,1200,42,200,,,0.0035621939574188867,0.039976649232432965,0.1,0.28,0.2,0.22,0.18,0.2,0.15109713037527878,0.041332247521350576,0.03438953164647256,0.007294854520925368,True,0.002649407438159711,0.011982554184987608,20250923,,,,,,,,,
boost,536,0.3406793773174286,0.28137072920799255,1,287.0,42,1200,4,32,1200,42,200,,,0.0035621939574188867,0.03167921032868738,0.1,0.28,0.2,0.22,0.18,0.2,0.13311281804059927,0.04280632393370206,0.03780816291652277,0.002235981219398213,False,0.002404059625047921,0.012284904565261023,20250923,,,,,,,,,
boost,537,0.35520121455192566,0.151840478181839,1,276.0,42,1200,4,32,1200,42,200,,,0.0030919079763148958,0.05839282285710794,0.1,0.28,0.2,0.22,0.18,0.2,0.15338301716570069,0.05363202390765705,0.02821892744114103,0.00171709251928804,True,0.002404059625047921,0.012284904565261023,20250923,,,,,,,,,
boost,492,0.35522711277008057,0.23412483930587769,1,366.0,42,1200,4,32,1200,42,200,,,0.0035621939574188867,0.03677886835487656,0.1,0.28,0.2,0.22,0.18,0.2,0.13311281804059927,0.045890897479768974,0.02249493806460027,0.0006664072632942885,False,0.007751320554953205,0.00624983267049723,20250923,,,,,,,,,
boost,535,0.36369192600250244,0.25755876302719116,1,393.0,42,1200,4,32,1200,42,200,,,0.0035621939574188867,0.039976649232432965,0.1,0.28,0.2,0.22,0.18,0.2,0.03187413777803088,0.05168733221792483,0.0398657958299808,0.007294854520925368,False,0.004646842572151072,0.005624086267024151,20250923,,,,,,,,,
boost,505,0.3657512664794922,0.15174555778503418,1,280.0,42,1200,4,32,1200,42,200,,,0.0035621939574188867,0.027581833233185565,0.1,0.28,0.2,0.22,0.18,0.2,0.13311281804059927,0.05363202390765705,0.03780816291652277,0.0010409594442585429,False,0.004646842572151072,0.012284904565261023,20250923,,,,,,,,,
boost,506,0.3657512664794922,0.15174555778503418,1,391.0,42,1200,4,32,1200,42,200,,,0.0035621939574188867,0.027581833233185565,0.1,0.28,0.2,0.22,0.18,0.2,0.13311281804059927,0.05363202390765705,0.03780816291652277,0.0010409594442585429,False,0.004646842572151072,0.012284904565261023,20250923,,,,,,,,,
boost,551,0.39292094111442566,0.1309402883052826,1,110.0,42,1200,4,32,1200,42,200,,,0.0030919079763148958,0.025250315474981567,0.1,0.28,0.2,0.22,0.18,0.2,0.14725235654866164,0.05363202390765705,0.03780816291652277,0.001370983452487797,False,0.0028732743401935633,0.01464633643741786,20250923,,,,,,,,,
boost,538,0.39536920189857483,0.1466200053691864,1,278.0,42,1200,4,32,1200,42,200,,,0.0035621939574188867,0.05607404637299522,0.1,0.28,0.2,0.22,0.18,0.2,0.14725235654866164,0.05168733221792483,0.03351609602005637,0.004395536800790681,False,0.005976298713557774,0.0047901565485444966,20250923,,,,,,,,,
boost,547,0.40048810839653015,0.8131625056266785,1,479.0,42,1200,4,32,1200,42,200,,,0.0035621939574188867,0.027387028294465852,0.1,0.28,0.2,0.22,0.18,0.2,0.13311281804059927,0.05508615015478824,0.030387321275403202,0.001370983452487797,False,0.0028732743401935633,0.01544837443902471,20250923,,,,,,,,,
boost,507,0.4050971567630768,0.4903329908847809,1,274.0,42,1200,4,32,1200,42,200,,,0.0035107305618389743,0.04529971500021985,0.1,0.28,0.2,0.22,0.18,0.2,0.08045398085597756,0.034829339653753635,0.02074087321311517,0.0009392686822436443,False,0.0030032195047247838,0.011982554184987608,20250923,,,,,,,,,
boost,546,0.4059944748878479,0.16952645778656006,1,142.0,42,1200,4,32,1200,42,200,,,0.006204523441828006,0.058410494547758166,0.1,0.28,0.2,0.22,0.18,0.2,0.0362327833148814,0.03153293708693232,0.03183094253032967,0.007550820544557825,True,0.0073894291662154575,0.008357714711164062,20250923,,,,,,,,,
boost,541,0.4129997491836548,0.27796992659568787,1,335.0,42,1200,4,32,1200,42,200,,,0.0035621939574188867,0.03677886835487656,0.1,0.28,0.2,0.22,0.18,0.2,0.0469764246708733,0.05168733221792483,0.02249493806460027,0.0050096016011145685,False,0.003094425706198823,0.00624983267049723,20250923,,,,,,,,,
boost,542,0.4129997491836548,0.27796992659568787,1,363.0,42,1200,4,32,1200,42,200,,,0.0035621939574188867,0.03677886835487656,0.1,0.28,0.2,0.22,0.18,0.2,0.0469764246708733,0.05168733221792483,0.02249493806460027,0.0050096016011145685,False,0.003094425706198823,0.00624983267049723,20250923,,,,,,,,,
boost,543,0.4129997491836548,0.27796992659568787,1,422.0,42,1200,4,32,1200,42,200,,,0.0035621939574188867,0.03677886835487656,0.1,0.28,0.2,0.22,0.18,0.2,0.13311281804059927,0.05168733221792483,0.02249493806460027,0.0050096016011145685,False,0.004757910913725131,0.00624983267049723,20250923,,,,,,,,,
boost,517,0.4147438704967499,0.15731889009475708,1,411.0,42,1200,4,32,1200,42,200,,,0.0035621939574188867,0.039976649232432965,0.1,0.28,0.2,0.22,0.18,0.2,0.13311281804059927,0.05168733221792483,0.03817592460304263,0.0016422963276282749,False,0.0023699576599635875,0.015456730935384492,20250923,,,,,,,,,
boost,534,0.41870397329330444,0.3863103985786438,1,166.0,42,1200,4,32,1200,42,200,,,0.0044306086390266,0.027581833233185565,0.1,0.28,0.2,0.22,0.18,0.2,0.05877267654775817,0.03941021735023271,0.027662739612104515,0.00171709251928804,False,0.0073894291662154575,0.009201556844546965,20250923,,,,,,,,,
boost,516,0.42435917258262634,1.3439103364944458,1,428.0,42,1200,4,32,1200,42,200,,,0.0035621939574188867,0.058410494547758166,0.1,0.28,0.2,0.22,0.18,0.2,0.16015714884044924,0.05508615015478824,0.039921235283937644,0.00171709251928804,False,0.00955155915585546,0.009201556844546965,20250923,,,,,,,,,
