phase,number,ga_rmse,abs_dTrP,parent_trial_id,cfg_L,cfg_hidden,cfg_epochs,cfg_seed,cfg_print_every,cfg_logfile,cfg_csv,cfg_lr,cfg_w_plaq,cfg_w_wil11,cfg_w_wil12,cfg_w_wil22,cfg_w_wil13,cfg_w_wil23,cfg_w_cr,cfg_w_unitary,cfg_w_phi_smooth,cfg_w_theta_smooth,cfg_w_phi_l2,cfg_use_huber,cfg_huber_delta_wil,cfg_huber_delta_cr,cfg_teacher_seed
base,279,0.32222050428390503,0.569219708442688,,4,32,300,42,200,,,0.0035621939574188867,0.039976649232432965,0.1,0.28,0.2,0.22,0.18,0.2,0.15109713037527878,0.041332247521350576,0.03438953164647256,0.007294854520925368,True,0.002649407438159711,0.011982554184987608,20250923
base,366,0.32298868894577026,0.3288072645664215,,4,32,300,42,200,,,0.0035621939574188867,0.03677886835487656,0.1,0.28,0.2,0.22,0.18,0.2,0.13311281804059927,0.045890897479768974,0.02249493806460027,0.0006664072632942885,False,0.007751320554953205,0.00624983267049723,20250923
base,164,0.32390907406806946,0.12509936094284058,,4,32,300,42,200,,,0.0035621939574188867,0.058410494547758166,0.1,0.28,0.2,0.22,0.18,0.2,0.13311281804059927,0.05508615015478824,0.039921235283937644,0.0016720448746557317,False,0.00955155915585546,0.01544837443902471,20250923
base,269,0.32390907406806946,0.12509936094284058,,4,32,300,42,200,,,0.0035621939574188867,0.058410494547758166,0.1,0.28,0.2,0.22,0.18,0.2,0.13311281804059927,0.05508615015478824,0.039921235283937644,0.0016720448746557317,False,0.00955155915585546,0.01544837443902471,20250923
base,333,0.32390907406806946,0.12509936094284058,,4,32,300,42,200,,,0.0035621939574188867,0.03531475732722501,0.1,0.28,0.2,0.22,0.18,0.2,0.13311281804059927,0.05508615015478824,0.039921235283937644,0.0016720448746557317,False,0.00955155915585546,0.012284904565261023,20250923
base,367,0.32390907406806946,0.12509936094284058,,4,32,300,42,200,,,0.0035621939574188867,0.058410494547758166,0.1,0.28,0.2,0.22,0.18,0.2,0.13311281804059927,0.05508615015478824,0.039921235283937644,0.0016720448746557317,False,0.00955155915585546,0.01544837443902471,20250923
base,424,0.32390907406806946,0.12509936094284058,,4,32,300,42,200,,,0.0035621939574188867,0.03531475732722501,0.1,0.28,0.2,0.22,0.18,0.2,0.13311281804059927,0.05508615015478824,0.039921235283937644,0.0016720448746557317,False,0.00955155915585546,0.013458062965265822,20250923
base,452,0.32390907406806946,0.12509936094284058,,4,32,300,42,200,,,0.0035621939574188867,0.058410494547758166,0.1,0.28,0.2,0.22,0.18,0.2,0.13311281804059927,0.05508615015478824,0.039921235283937644,0.0016720448746557317,False,0.00955155915585546,0.01544837443902471,20250923
base,119,0.3296349048614502,0.12184653431177139,,4,32,300,42,200,,,0.0035621939574188867,0.03677886835487656,0.1,0.28,0.2,0.22,0.18,0.2,0.13311281804059927,0.05168733221792483,0.03817592460304263,0.0021485732794660887,False,0.007751320554953205,0.00624983267049723,20250923
base,277,0.3296349048614502,0.12184653431177139,,4,32,300,42,200,,,0.0035621939574188867,0.039976649232432965,0.1,0.28,0.2,0.22,0.18,0.2,0.13311281804059927,0.05168733221792483,0.03817592460304263,0.0021485732794660887,False,0.007751320554953205,0.00624983267049723,20250923
base,376,0.3296349048614502,0.12184653431177139,,4,32,300,42,200,,,0.0035621939574188867,0.03677886835487656,0.1,0.28,0.2,0.22,0.18,0.2,0.13311281804059927,0.05168733221792483,0.03817592460304263,0.0021485732794660887,False,0.007751320554953205,0.00624983267049723,20250923
base,416,0.3296349048614502,0.12184653431177139,,4,32,300,42,200,,,0.0035621939574188867,0.02498308658344426,0.1,0.28,0.2,0.22,0.18,0.2,0.13311281804059927,0.05168733221792483,0.03817592460304263,0.0021485732794660887,False,0.00955155915585546,0.01544837443902471,20250923
base,447,0.3296349048614502,0.12184653431177139,,4,32,300,42,200,,,0.0035621939574188867,0.027622029911459064,0.1,0.28,0.2,0.22,0.18,0.2,0.13311281804059927,0.05168733221792483,0.03817592460304263,0.0021485732794660887,False,0.004646842572151072,0.005624086267024151,20250923
base,345,0.3735005259513855,0.05981075018644333,,4,32,300,42,200,,,0.0063539200109792,0.027581833233185565,0.1,0.28,0.2,0.22,0.18,0.2,0.1661121029319328,0.03941021735023271,0.03851836750851413,0.0016422963276282749,False,0.0023699576599635875,0.004660786054509808,20250923
base,56,0.43410947918891907,0.0267520472407341,,4,32,300,42,200,,,0.0063539200109792,0.05014740192541536,0.1,0.28,0.2,0.22,0.18,0.2,0.1661121029319328,0.0394423904172735,0.030642421374027614,0.0016422963276282749,False,0.0023699576599635875,0.004660786054509808,20250923
base,131,0.43410947918891907,0.0267520472407341,,4,32,300,42,200,,,0.0063539200109792,0.05014740192541536,0.1,0.28,0.2,0.22,0.18,0.2,0.08789015653546865,0.0394423904172735,0.030642421374027614,0.0016422963276282749,False,0.0023699576599635875,0.007936440233500168,20250923
